head	lemma	derivation	category	new_meaning
H1	banD	banD	dhaatu	to bind, tie, fix, fasten, chain, fetter, to bind round, put on, to catch, take, hold captive, to attach to world, to sin, to fix, direct, fasten, rivet on, to arrest, hold back, restrain, suppress, stop, shut, close, to bind a sacrificial victim, offer, sacrifice, to punish, chastise, to join, unite, put together, produce anything in this way, fold, clench, knit, bend, arrange, assume, set up, construct, span, bridge over, conceive, contract, compose, construct, to form, produce in any way, cause, effect, do, make, bear, strike, take up, to entertain, cherish, show, exhibit, betray to be bound by the fetters of existence, evil, sin again, to be affected by id est, that is experience, suffer, to cause to bind, catch, capture, imprison, to cause to be built, constructed, to cause to be embanked, dammed up, to bind together.
H1	brahman	bra/hman	praatipadika	pious effusion, utterance, outpouring of the heart in worshipping the gods, prayer
H1	brahman	bra/hman	praatipadika	the sacred word, the Veda, a sacred text, a text, Mantra used as a spell
H1	brahman	bra/hman	praatipadika	the Brāhmaṇa portion of the Veda
H1	brahman	bra/hman	praatipadika	the sacred syllable Om, 
H1	brahman	bra/hman	praatipadika	religious, spiritual knowledge
H1	brahman	bra/hman	praatipadika	holy life
H1	brahman	bra/hman	praatipadika	the Brahmă, one self-existent impersonal Spirit, the one universal Soul, the Self-existent, the Absolute, the Eternal
H1	brahman	bra/hman	praatipadika	the class of men who are the repositories, communicators of sacred knowledge, the Brāhmanical caste as a body
H1	brahman	bra/hman	praatipadika	food
H1	brahman	bra/hman	praatipadika	wealth
H1	brahman	bra/hman	praatipadika	final emancipation
H1	brahman	brahma/n	praatipadika	one who prays, a devout, religious man, a Brāhman who is a knower of Vedic texts, spells, one versed in sacred knowledge
H1	brahman	brahma/n	praatipadika	Name of Bṛhas-pati
H1	brahman	brahma/n	praatipadika	one of the 4 principal priests, Ṛtvijas
H1	brahman	brahma/n	praatipadika	Brahmā, the one impersonal universal Spirit manifested as a personal Creator, as the first of the triad of personal gods
H1	brahman	brahma/n	praatipadika	a lifetime of Brahmā
H1	brahman	brahma/n	praatipadika	an inhabitant of Brahmā's heaven
H1	brahman	brahma/n	praatipadika	the sun
H1	brahman	brahma/n	praatipadika	Name of Śiva, 
H1	brahman	brahma/n	praatipadika	the Veda
H1	brahman	brahma/n	praatipadika	the intellect
H1	brahman	brahma/n	praatipadika	Name of a star, δ Aurigae
H1	brahman	brahma/n	praatipadika	a particular astronomy Yoga
H1	brahman	brahma/n	praatipadika	Name of the 9th Muhūrta
H1	brahman	brahma/n	praatipadika	a particular Kalpa
H1	brahman	brahma/n	praatipadika	Name of the servant of the 10th Arhat of the present Avasarpiṇī
H1	brahman	brahma/n	praatipadika	Name of a magician
H1	BAva	BAva/	praatipadika	becoming, being, existing, occurring, appearance
H1	BAva	BAva/	praatipadika	turning, transition into
H1	BAva	BAva/	praatipadika	continuance
H1	BAva	BAva/	praatipadika	state, condition, rank
H1	BAva	BAva/	praatipadika	true condition, state, truth, reality
H1	BAva	BAva/	praatipadika	manner of being, nature, temperament, character
H1	BAva	BAva/	praatipadika	manner of acting, conduct, behaviour
H1	BAva	BAva/	praatipadika	any state of mind and body, way of thinking, feeling, sentiment, opinion, disposition, intention with whatever disposition of mind, to be ill disposed against, to make a firm resolution
H1	BAva	BAva/	praatipadika	passion, emotion
H1	BAva	BAva/	praatipadika	conjecture, supposition
H1	BAva	BAva/	praatipadika	purport, meaning, such is the sense
H1	BAva	BAva/	praatipadika	love, affection, attachment, to feel an affection for
H1	BAva	BAva/	praatipadika	the seat of the feelings, affections, heart, soul, mind with a pleased mind
H1	BAva	BAva/	praatipadika	that which is, exists, thing, substance, being, living creature all earthly objects, plants, animals
H1	BAva	BAva/	praatipadika	a discreet, learned man
H1	BAva	BAva/	praatipadika	the state, condition of a planet
H1	BAva	BAva/	praatipadika	an astrological house, lunar mansion
H1	BAva	BAva/	praatipadika	Name of the 27th Kalpa
H1	BAva	BAva/	praatipadika	of the 8th year in Jupiter's cycle of 60 years
H1	BAva	BAva/	praatipadika	the fundamental notion of the verb, the sense conveyed by the abstract noun
H1	BAva	BAva/	praatipadika	Name of the author of the Bhāvaprakāśa
H1	BAva	BAva/	praatipadika	wanton sport, dalliance
H1	BAva	BAva/	praatipadika	birth
H1	BAva	BAva/	praatipadika	place of birth, the womb
H1	BAva	BAva/	praatipadika	the world, universe
H1	BAva	BAva/	praatipadika	an organ of sense
H1	BAva	BAva/	praatipadika	superhuman power
H1	BAva	BAva/	praatipadika	the Supreme Being
H1	BAva	BAva/	praatipadika	advice, instruction
H1	BAva	BAva/	praatipadika	contemplation, meditation
H1	BU	BU	dhaatu	Name of a Yogin
H1	BU	BU/	dhaatu	becoming, being, existing, springing, arising
H1	BU	BU/	dhaatu	Name of Viṣṇu
H1	BU	BU/	dhaatu	Name of an Ekāha
H1	BU	BU/	dhaatu	the act of becoming, arising
H1	BU	BU/	dhaatu	the place of being, space, world, universe
H1	BU	BU/	dhaatu	the earth, symbolical name for the number one
H1	BU	BU/	dhaatu	one of the three Vyāhṛtis
H1	BU	BU/	dhaatu	earth, ground, soil, land, landed property
H1	BU	BU/	dhaatu	floor, pavement
H1	BU	BU/	dhaatu	a place, spot, piece of ground
H1	BU	BU/	dhaatu	the base of any geometrical figure
H1	BU	BU/	dhaatu	object, matter
H1	BU	BU/	dhaatu	a term for the letter
H1	BU	BU/	dhaatu	a sacrificial fire
H1	BU	BU	dhaatu	a particular land-measure
H1	mad	mad	dhaatu	base of the first person pronoun in the singular number number
H1	mad	mad	dhaatu	to rejoice, be glad, exult, delight, revel in, be drunk with, to enjoy heavenly bliss, to boil, bubble, to gladden, exhilarate, intoxicate, animate, inspire, to gladden, delight, satisfy, exhilarate, intoxicate, inflame, inspire, to be glad, rejoice, be pleased, happy, at ease, to enjoy heavenly bliss, 
H1	mad	mad	dhaatu	to tarry, stand still, pause
H1	muc	muc	dhaatu	  to cheat
H1	muc	muc	dhaatu	to loose, let loose, free, let go, slacken, release, liberate, to spare, let live, to set free, allow to depart, dismiss, despatch, to relinquish, abandon, leave, quit, give up, set aside, depose, to yield, grant, bestow, to send forth, shed, emit, utter, discharge, throw, cast, hurl, shoot, to put on, to be loosed, to be set free, released, to deliver one's self from, to get rid of, escape,to abstain from, to be deprived, destitute of, to cause to loose, let go, give up, discharge, shed, to unloose, unyoke, unharness, to set free, liberate, absolve from, to redeem, to open, to give away, spend, bestow, to gladden, delight, yield enjoyment, to wish to deliver, to wish, be about to set free, to be about to give up, relinquish, to wish, intend to cast, hurl, to wish to free one's self, to desire final liberation, beatitude.
H1	muc	muc	dhaatu	freeing, delivering from
H1	muc	muc	dhaatu	letting go, letting fall, dropping, discharging, shooting, sending
H1	muc	muc	dhaatu	deliverance
H1	yuj	yuj	dhaatu	to make ready, prepare, arrange, fit out, set to work, use, employ, apply, to equip, to offer, perform, to put on, to fix in, insert, inject, to appoint or to charge or intrust with, to command, enjoin, to turn, direct, fix, concentrate, to concentrate the mind in order to obtain union with the Universal Spirit, be absorbed in meditation, to recollect, recall, to join, unite, connect, add, bring together, to confer, bestow anything upon, to bring into possession of, furnish, endow with, to join one's self to, to come into union, conjunction with, to be yoked, harnessed, joined, to attach one's self to, to be made ready, prepared for, to be united in marriage, to be endowed with, possessed of, to come into conjunction with, to accrue to, fall to the lot of, to be fit, proper, suitable, right, suit anything, be fitted for, belong to, suit any one, deserve to be, not to be fit, proper for, to harness, yoke with, put to, to equip, draw up, to use, employ, set to work, apply, undertake, carry on, perform, accomplish, to urge, impel to, to lead towards, help to, to set, to aim at, to fasten on, attack, adjust, add, insert, to join, unite, connect, combine, bring or put together, to encompass, embrace, to put in order, arrange, repair, restore, to endow, furnish, provide with, to mix with, to confer anything upon, to ascertain or know the conjunction of the moon with an asterism, to think little of, esteem lightly, despise, to wish to harness, yoke, join, to wish to appoint or institute, to wish to fix or aim, to wish to be absorbed in meditation, devout
H1	yuj	yu/j	dhaatu	joined, yoked, harnessed, drawn by
H1	yuj	yu/j	dhaatu	furnished or provided or filled with, affected by, possessed of
H1	yuj	yu/j	dhaatu	bestowing, granting
H1	yuj	yu/j	dhaatu	exciting, an exciter
H1	yuj	yu/j	dhaatu	being in couples, pairs, even
H1	yuj	yu/j	dhaatu	a yoke-fellow, companion, comrade, associate
H1	yuj	yu/j	dhaatu	a sage who devotes his time to abstract contemplation
H1	yuj	yu/j	dhaatu	a pair, couple, the number two
H1	yuj	yu/j	dhaatu	dual, the two Aśvins
H1	yuj	yu/j	dhaatu	the zodiacal sign Gemini
H1	yoga	yo/ga	praatipadika	the act of yoking, joining, attaching, harnessing, putting to
H1	yoga	yo/ga	praatipadika	a yoke, team, vehicle, conveyance
H1	yoga	yo/ga	praatipadika	employment, use, application, performance
H1	yoga	yo/ga	praatipadika	equipping, arraying
H1	yoga	yo/ga	praatipadika	fixing
H1	yoga	yo/ga	praatipadika	putting on
H1	yoga	yo/ga	praatipadika	a remedy, cure
H1	yoga	yo/ga	praatipadika	a means, expedient, device, way, manner, method
H1	yoga	yo/ga	praatipadika	a supernatural means, charm, incantation, magical art
H1	yoga	yo/ga	praatipadika	a trick, stratagem, fraud, deceit
H1	yoga	yo/ga	praatipadika	undertaking, business, work
H1	yoga	yo/ga	praatipadika	acquisition, gain, profit, wealth, property
H1	yoga	yo/ga	praatipadika	occasion, opportunity
H1	yoga	yo/ga	praatipadika	any junction, union, combination, contact with, to agree, consent, acquiesce in anything
H1	yoga	yo/ga	praatipadika	mixing of various materials, mixture
H1	yoga	yo/ga	praatipadika	partaking of, possessing
H1	yoga	yo/ga	praatipadika	connection, relation, at the end of a compound in consequence of, on account of, by reason of, according to, through
H1	yoga	yo/ga	praatipadika	putting together, arrangement, disposition, regular succession
H1	yoga	yo/ga	praatipadika	fitting together, fitness, propriety, suitability
H1	yoga	yo/ga	praatipadika	exertion, endeavour, zeal, diligence, industry, care, attention
H1	yoga	yo/ga	praatipadika	application, concentration of the thoughts, abstract contemplation, meditation, self-concentration, abstract meditation, mental abstraction practised as a system
H1	yoga	yo/ga	praatipadika	any simple act, rite conducive to Yoga, abstract meditation
H1	yoga	yo/ga	praatipadika	Yoga personified
H1	yoga	yo/ga	praatipadika	a follower of the Yoga system
H1	yoga	yo/ga	praatipadika	the union of soul with matter
H1	yoga	yo/ga	praatipadika	the union of the individual soul with the universal soul
H1	yoga	yo/ga	praatipadika	devotion, pious seeking after God
H1	yoga	yo/ga	praatipadika	contact, mixing with the outer world
H1	yoga	yo/ga	praatipadika	conjunction, lucky conjuncture
H1	yoga	yo/ga	praatipadika	a constellation, asterism
H1	yoga	yo/ga	praatipadika	the leading, principal star of a lunar asterism
H1	yoga	yo/ga	praatipadika	Name of a variable division of time
H1	yoga	yo/ga	praatipadika	addition, sum, total
H1	yoga	yo/ga	praatipadika	the connection of words together, syntactical dependence of a word, construction
H1	yoga	yo/ga	praatipadika	a combined, concentrated grammatical rule, aphorism, 
H1	yoga	yo/ga	praatipadika	the connection of a word with its root, original, etymological meaning, 
H1	yoga	yo/ga	praatipadika	a violator of confidence, spy
H1	yoga	yo/ga	praatipadika	Name of a  on the Paramārthasāra
H1	rasa	ra/sa	praatipadika	the sap, juice of plants, juice of fruit, any liquid, fluid, the best, finest, prime part of anything, essence, marrow
H1	rasa	ra/sa	praatipadika	water, liquor, drink
H1	rasa	ra/sa	praatipadika	juice of the sugar-cane, syrup
H1	rasa	ra/sa	praatipadika	any mixture, draught, elixir, potion
H1	rasa	ra/sa	praatipadika	melted butter
H1	rasa	ra/sa	praatipadika	milk
H1	rasa	ra/sa	praatipadika	poison
H1	rasa	ra/sa	praatipadika	nectar
H1	rasa	ra/sa	praatipadika	soup, broth
H1	rasa	ra/sa	praatipadika	a constituent fluid, essential juice of the body, serum, the primary juice called chyle
H1	rasa	ra/sa	praatipadika	mercury, quicksilver
H1	rasa	ra/sa	praatipadika	semen virile
H1	rasa	ra/sa	praatipadika	myrrh
H1	rasa	ra/sa	praatipadika	any mineral, metallic salt
H1	rasa	ra/sa	praatipadika	a metal, mineral in a state of fusion
H1	rasa	ra/sa	praatipadika	gold
H1	rasa	ra/sa	praatipadika	Vangueria Spinosa
H1	rasa	ra/sa	praatipadika	a species of amaranth
H1	rasa	ra/sa	praatipadika	green onion
H1	rasa	ra/sa	praatipadika	resin
H1	rasa	ra/sa	praatipadika	a kind of metre
H1	rasa	ra/sa	praatipadika	taste, flavour
H1	rasa	ra/sa	praatipadika	Name of the number six
H1	rasa	ra/sa	praatipadika	any object of taste, condiment, sauce, spice, seasoning
H1	rasa	ra/sa	praatipadika	the tongue
H1	rasa	ra/sa	praatipadika	taste, inclination, fondness for, love, affection, desire
H1	rasa	ra/sa	praatipadika	charm, pleasure, delight
H1	rasa	ra/sa	praatipadika	the taste, character of a work, the feeling, sentiment prevailing in it
H1	rasa	ra/sa	praatipadika	the prevailing sentiment in human character
H1	rasa	ra/sa	praatipadika	disposition of the heart, mind, religious sentiment
H1	rasa	ra/sa	praatipadika	the son of a Niṣāda, a Śanakī
H1	rasa	ra/sa	praatipadika	Name of the sacred syllable, Om
H1	rUpa	rUpa/	praatipadika	any outward appearance, phenomenon, colour, form, shape, figure
H1	rUpa	rUpa/	praatipadika	dreamy, phantom shapes
H1	rUpa	rUpa/	praatipadika	handsome form, loveliness, grace, beauty, splendour
H1	rUpa	rUpa/	praatipadika	nature, character, peculiarity, feature, mark, sign, symptom
H1	rUpa	rUpa/	praatipadika	likeness, image, reflection
H1	rUpa	rUpa/	praatipadika	circumstances
H1	rUpa	rUpa/	praatipadika	sort, kind
H1	rUpa	rUpa/	praatipadika	mode, manner, way
H1	rUpa	rUpa/	praatipadika	trace of
H1	rUpa	rUpa/	praatipadika	a single specimen, exemplar
H1	rUpa	rUpa/	praatipadika	a particular coin
H1	rUpa	rUpa/	praatipadika	a show, play, drama
H1	rUpa	rUpa/	praatipadika	the arithmetical unit
H1	rUpa	rUpa/	praatipadika	integer number
H1	rUpa	rUpa/	praatipadika	known, absolute number, a known quantity as having specific form
H1	rUpa	rUpa/	praatipadika	any form of a noun, verb
H1	rUpa	rUpa/	praatipadika	the quality of colour
H1	rUpa	rUpa/	praatipadika	material form id est, that is the organized body
H1	rUpa	rUpa/	praatipadika	a reflection, remark made under particular circumstances when the action is at its height
H1	rUpa	rUpa/	praatipadika	cattle
H1	rUpa	rUpa/	praatipadika	a beast
H1	rUpa	rUpa/	praatipadika	a sound, word
H1	rUpa	rUpa/	praatipadika	rereading a book
H1	rUpa	rUpa/	praatipadika	a word of unknown meaning
H1	rUpa	rUpa/	praatipadika	Name of a people
H1	rUpa	rUpa/	praatipadika	Name of a place
H1	vac	vac	dhaatu	to speak, say, tell, utter, announce, declare, mention, proclaim, recite, describe, to reproach, revile, to be spoken, said, told, uttered, what the saying is, to resound, to be called, accounted, be regarded as, pass for, to cause to say, speak, recite, pronounce, to cause anything written, to read out loud, to say, tell, declare, to promise, to desire to say, speak, recite, proclaim, declare, to be meant, to call, cry aloud
H1	sarva	sa/rva	praatipadika	whole, entire, all, every
H1	sarva	sa/rva	praatipadika	of all sorts, manifold, various, different
H1	sarva	sa/rva	praatipadika	altogether, wholly, completely, in all parts, everywhere
H1	sarva	sa/rva	praatipadika	Name of Śiva
H1	sarva	sa/rva	praatipadika	Name of Kṛṣṇa
H1	sarva	sa/rva	praatipadika	Name of a Muni
H1	sarva	sa/rva	praatipadika	Name of a people
H1	sarva	sa/rva	praatipadika	water
H1	saha	saha/	praatipadika	powerful, mighty
H1	saha	saha/	praatipadika	overcoming, vanquishing
H1	saha	saha/	praatipadika	bearing, enduring, withstanding, defying, equal to, a match for
H1	saha	saha/	praatipadika	causing, effecting, stimulating, exerting
H1	saha	saha/	praatipadika	able to, capable of
H1	saha	saha/	praatipadika	the month Mārgaśīrṣa
H1	saha	saha/	praatipadika	a particular Agni
H1	saha	saha/	praatipadika	a species of plant
H1	saha	saha/	praatipadika	Name of a son of Manu
H1	saha	saha/	praatipadika	Name of a son of Prāṇa, Ūrjasvatī
H1	saha	saha/	praatipadika	Name of a son of Dhṛtarāṣṭra
H1	saha	saha/	praatipadika	Name of a son of Kṛṣṇa, Mādrī
H1	saha	saha/	praatipadika	a companion
H1	saha	saha/	praatipadika	kind of salt
H1	saha	saha/	avyaya	together with, along with, with, to take with one with, to give to take away with one, taking with one, in the company of
H1	saha	saha/	avyaya	in common, in company, jointly, conjointly, in concert
H1	saha	saha/	avyaya	at the same time, simultaneously with
H1	su	su	dhaatu	to go, move
H1	su	su	dhaatu	to urge, impel, incite, to possess supremacy
H1	su	su	dhaatu	to press out, extract, to distil
H1	su	su	dhaatu	to beget, bring forth
H1	su	su/	upasarga	to become, to lengthen a preceding vowel, good, excellent, right, virtuous, beautiful, easy, well, rightly, much, greatly, very, any, easily, willingly, quickly
H1	han	han	naama-dhaatu	to strike, beat, pound, hammer, strike upon, to smite, slay, hit, kill, mar, destroy, to put to death, cause to be executed, to strike off, to ward off, avert, to hurt, wound, to hurl upon, to touch, come into contact, to obstruct, hinder, to repress, give up, abandon, to be struck, killed, to cause to be slain, killed, kill, slay, put to death, punish, to notify a person's death, to mar, destroy, to wish to kill, destroy, to strike or tread upon, to slay, kill, to dispel, destroy, to hurt, injure, wound
H1	han	han	dhaatu	killing, a killer, slayer
H1	hari	hari	praatipadika	bearing, carrying
H1	hari	ha/ri	praatipadika	fawn-coloured, reddish brown, brown, tawny, pale yellow, yellow, fallow, bay, green, greenish
H1	hari	ha/ri	praatipadika	yellow, reddish brown, green
H1	hari	ha/ri	praatipadika	a horse, steed
H1	hari	ha/ri	praatipadika	a lion
H1	hari	ha/ri	praatipadika	the sign of the zodiac Leo
H1	hari	ha/ri	praatipadika	the sun
H1	hari	ha/ri	praatipadika	Name of Yama
H1	hari	ha/ri	praatipadika	a monkey
H1	hari	ha/ri	praatipadika	a ray of light, the moon, Phaseolus Mungo, a jackal, a parrot, a peacock, the Koil or Indian cuckoo, a goose, a frog, a snake, fire
H1	hari	ha/ri	praatipadika	the wind, Name of Vāyu
H1	hari	ha/ri	praatipadika	Name of Indra
H1	hari	ha/ri	praatipadika	Name of Viṣṇu-Kṛṣṇa
H1	hari	ha/ri	praatipadika	Name of Brahmā
H1	hari	ha/ri	praatipadika	Name of Śiva
H1	hari	ha/ri	praatipadika	Name of Śukra
H1	hari	ha/ri	praatipadika	Name of Suparṇa
H1	hari	ha/ri	praatipadika	Name of a Dānava
H1	hari	ha/ri	praatipadika	Name of a son of Garuḍa
H1	hari	ha/ri	praatipadika	Name of a Rākṣasa
H1	hari	ha/ri	praatipadika	Name of a mountain
H1	hari	ha/ri	praatipadika	Name of a son of Akampana
H1	hari	ha/ri	praatipadika	Name of a son of Tārakākṣa
H1	hari	ha/ri	praatipadika	Name of a son of Parājit
H1	hari	ha/ri	praatipadika	Name of a son of Parāvṛt
H1	hari	ha/ri	praatipadika	Name of a worshipper of Viṣṇu
H1	hari	ha/ri	praatipadika	Name of various authors, scholars
H1	hari	ha/ri	praatipadika	Name of a metre
H1	hari	ha/ri	praatipadika	Name of a world
H1	hari	ha/ri	praatipadika	Name of a particular high number
H1	hari	ha/ri	praatipadika	a particular class of gods under Manu Tāmasa
H1	hari	ha/ri	praatipadika	men, people
H1	hari	hari	praatipadika	an exclamation
H1	hi	hi	dhaatu	to send forth, set in motion, impel, urge on, hasten on, to stimulate, incite to, to assist, help to, to discharge, hurl, cast, shoot, to convey, bring, procure, to forsake, abandon, get rid of,to gladden, delight
H1	hi	hi/	dhaatu	for, because, on account of
H1	hi	hi/	avyaya	just, pray, do
H1	hi	hi/	dhaatu	indeed, assuredly, surely, of course, certainly, most assuredly, indeed-but, often a mere expletive, especially to avoid a hiatus, sometimes repeated in the same sentence, an interjection of envy and contempt and hurry