head	lemma	derivation	category	model	method	max
H1	BAva	BAva/	praatipadika	orginal	orginal	30
H1	BAva	BAva/	praatipadika	MPnet	k_hop	18
H1	BAva	BAva/	praatipadika	MPnet	hac	72
H1	BAva	BAva/	praatipadika	MPnet	louvain	14
H1	BAva	BAva/	praatipadika	MPnet	leiden	16
H1	BU	BU	dhaatu	orginal	orginal	2
H1	BU	BU	dhaatu	MPnet	k_hop	2
H1	BU	BU	dhaatu	MPnet	hac	2
H1	BU	BU	dhaatu	MPnet	louvain	2
H1	BU	BU	dhaatu	MPnet	leiden	2
H1	BU	BU/	dhaatu	orginal	orginal	14
H1	BU	BU/	dhaatu	MPnet	k_hop	5
H1	BU	BU/	dhaatu	MPnet	hac	26
H1	BU	BU/	dhaatu	MPnet	louvain	7
H1	BU	BU/	dhaatu	MPnet	leiden	8
H1	Darma	Da/rma	praatipadika	orginal	orginal	27
H1	Darma	Da/rma	praatipadika	MPnet	k_hop	14
H1	Darma	Da/rma	praatipadika	MPnet	hac	49
H1	Darma	Da/rma	praatipadika	MPnet	louvain	13
H1	Darma	Da/rma	praatipadika	MPnet	leiden	14
H1	Darma	Darma	naama-dhaatu	orginal	orginal	1
H1	Darma	Darma	naama-dhaatu	MPnet	k_hop	2
H1	Darma	Darma	naama-dhaatu	MPnet	hac	2
H1	Darma	Darma	naama-dhaatu	MPnet	louvain	2
H1	Darma	Darma	naama-dhaatu	MPnet	leiden	2
H1	agra	a/gra	praatipadika	orginal	orginal	15
H1	agra	a/gra	praatipadika	MPnet	k_hop	10
H1	agra	a/gra	praatipadika	MPnet	hac	30
H1	agra	a/gra	praatipadika	MPnet	louvain	9
H1	agra	a/gra	praatipadika	MPnet	leiden	9
H1	agra	agra	praatipadika	orginal	orginal	1
H1	agra	agra	praatipadika	MPnet	k_hop	1
H1	agra	agra	praatipadika	MPnet	hac	2
H1	agra	agra	praatipadika	MPnet	louvain	1
H1	agra	agra	praatipadika	MPnet	leiden	1
H1	arTa	a/rTa	praatipadika	orginal	orginal	15
H1	arTa	a/rTa	praatipadika	MPnet	k_hop	8
H1	arTa	a/rTa	praatipadika	MPnet	hac	35
H1	arTa	a/rTa	praatipadika	MPnet	louvain	7
H1	arTa	a/rTa	praatipadika	MPnet	leiden	7
H1	banD	banD	dhaatu	orginal	orginal	1
H1	banD	banD	dhaatu	MPnet	k_hop	15
H1	banD	banD	dhaatu	MPnet	hac	68
H1	banD	banD	dhaatu	MPnet	louvain	12
H1	banD	banD	dhaatu	MPnet	leiden	12
H1	brahman	bra/hman	praatipadika	orginal	orginal	11
H1	brahman	bra/hman	praatipadika	MPnet	k_hop	5
H1	brahman	bra/hman	praatipadika	MPnet	hac	24
H1	brahman	bra/hman	praatipadika	MPnet	louvain	6
H1	brahman	bra/hman	praatipadika	MPnet	leiden	6
H1	brahman	brahma/n	praatipadika	orginal	orginal	16
H1	brahman	brahma/n	praatipadika	MPnet	k_hop	5
H1	brahman	brahma/n	praatipadika	MPnet	hac	22
H1	brahman	brahma/n	praatipadika	MPnet	louvain	6
H1	brahman	brahma/n	praatipadika	MPnet	leiden	7
H1	citra	citra	praatipadika	orginal	orginal	1
H1	citra	citra	praatipadika	MPnet	k_hop	2
H1	citra	citra	praatipadika	MPnet	hac	2
H1	citra	citra	praatipadika	MPnet	louvain	2
H1	citra	citra	praatipadika	MPnet	leiden	2
H1	citra	citra/	praatipadika	orginal	orginal	33
H1	citra	citra/	praatipadika	MPnet	k_hop	15
H1	citra	citra/	praatipadika	MPnet	hac	43
H1	citra	citra/	praatipadika	MPnet	louvain	14
H1	citra	citra/	praatipadika	MPnet	leiden	14
H1	dfS	df/S	praatipadika	orginal	orginal	7
H1	dfS	df/S	praatipadika	MPnet	k_hop	3
H1	dfS	df/S	praatipadika	MPnet	hac	13
H1	dfS	df/S	praatipadika	MPnet	louvain	4
H1	dfS	df/S	praatipadika	MPnet	leiden	5
H1	dfS	dfS	praatipadika	orginal	orginal	1
H1	dfS	dfS	praatipadika	MPnet	k_hop	5
H1	dfS	dfS	praatipadika	MPnet	hac	32
H1	dfS	dfS	praatipadika	MPnet	louvain	5
H1	dfS	dfS	praatipadika	MPnet	leiden	7
H1	eka	e/ka	praatipadika	orginal	orginal	12
H1	eka	e/ka	praatipadika	MPnet	k_hop	9
H1	eka	e/ka	praatipadika	MPnet	hac	28
H1	eka	e/ka	praatipadika	MPnet	louvain	9
H1	eka	e/ka	praatipadika	MPnet	leiden	9
H1	eva	e/va	praatipadika	orginal	orginal	5
H1	eva	e/va	praatipadika	MPnet	k_hop	8
H1	eva	e/va	praatipadika	MPnet	hac	15
H1	eva	e/va	praatipadika	MPnet	louvain	9
H1	eva	e/va	praatipadika	MPnet	leiden	9
H1	eva	eva/	avyaya	orginal	orginal	4
H1	eva	eva/	avyaya	MPnet	k_hop	7
H1	eva	eva/	avyaya	MPnet	hac	22
H1	eva	eva/	avyaya	MPnet	louvain	6
H1	eva	eva/	avyaya	MPnet	leiden	7
H1	gam	gam	dhaatu	orginal	orginal	1
H1	gam	gam	dhaatu	MPnet	k_hop	7
H1	gam	gam	dhaatu	MPnet	hac	52
H1	gam	gam	dhaatu	MPnet	louvain	8
H1	gam	gam	dhaatu	MPnet	leiden	11
H1	grah	grah	dhaatu	orginal	orginal	1
H1	grah	grah	dhaatu	MPnet	k_hop	8
H1	grah	grah	dhaatu	MPnet	hac	62
H1	grah	grah	dhaatu	MPnet	louvain	6
H1	grah	grah	dhaatu	MPnet	leiden	8
H1	han	han	dhaatu	orginal	orginal	1
H1	han	han	dhaatu	MPnet	k_hop	1
H1	han	han	dhaatu	MPnet	hac	3
H1	han	han	dhaatu	MPnet	louvain	1
H1	han	han	dhaatu	MPnet	leiden	1
H1	han	han	naama-dhaatu	orginal	orginal	1
H1	han	han	naama-dhaatu	MPnet	k_hop	3
H1	han	han	naama-dhaatu	MPnet	hac	32
H1	han	han	naama-dhaatu	MPnet	louvain	4
H1	han	han	naama-dhaatu	MPnet	leiden	6
H1	hari	ha/ri	praatipadika	orginal	orginal	31
H1	hari	ha/ri	praatipadika	MPnet	k_hop	9
H1	hari	ha/ri	praatipadika	MPnet	hac	46
H1	hari	ha/ri	praatipadika	MPnet	louvain	7
H1	hari	ha/ri	praatipadika	MPnet	leiden	7
H1	hari	hari	praatipadika	orginal	orginal	2
H1	hari	hari	praatipadika	MPnet	k_hop	2
H1	hari	hari	praatipadika	MPnet	hac	3
H1	hari	hari	praatipadika	MPnet	louvain	2
H1	hari	hari	praatipadika	MPnet	leiden	2
H1	hi	hi	dhaatu	orginal	orginal	1
H1	hi	hi	dhaatu	MPnet	k_hop	3
H1	hi	hi	dhaatu	MPnet	hac	21
H1	hi	hi	dhaatu	MPnet	louvain	4
H1	hi	hi	dhaatu	MPnet	leiden	4
H1	hi	hi/	avyaya	orginal	orginal	1
H1	hi	hi/	avyaya	MPnet	k_hop	2
H1	hi	hi/	avyaya	MPnet	hac	3
H1	hi	hi/	avyaya	MPnet	louvain	2
H1	hi	hi/	avyaya	MPnet	leiden	2
H1	hi	hi/	dhaatu	orginal	orginal	2
H1	hi	hi/	dhaatu	MPnet	k_hop	6
H1	hi	hi/	dhaatu	MPnet	hac	12
H1	hi	hi/	dhaatu	MPnet	louvain	7
H1	hi	hi/	dhaatu	MPnet	leiden	7
H1	kAla	kAla	praatipadika	orginal	orginal	25
H1	kAla	kAla	praatipadika	MPnet	k_hop	6
H1	kAla	kAla	praatipadika	MPnet	hac	25
H1	kAla	kAla	praatipadika	MPnet	louvain	7
H1	kAla	kAla	praatipadika	MPnet	leiden	7
H1	kAla	kAla/	praatipadika	orginal	orginal	13
H1	kAla	kAla/	praatipadika	MPnet	k_hop	4
H1	kAla	kAla/	praatipadika	MPnet	hac	19
H1	kAla	kAla/	praatipadika	MPnet	louvain	5
H1	kAla	kAla/	praatipadika	MPnet	leiden	6
H1	karman	ka/rman	praatipadika	orginal	orginal	12
H1	karman	ka/rman	praatipadika	MPnet	k_hop	7
H1	karman	ka/rman	praatipadika	MPnet	hac	25
H1	karman	ka/rman	praatipadika	MPnet	louvain	8
H1	karman	ka/rman	praatipadika	MPnet	leiden	8
H1	kavi	kav	praatipadika	orginal	orginal	4
H1	kavi	kav	praatipadika	MPnet	k_hop	2
H1	kavi	kav	praatipadika	MPnet	hac	14
H1	kavi	kav	praatipadika	MPnet	louvain	2
H1	kavi	kav	praatipadika	MPnet	leiden	2
H1	kavi	kavi/	praatipadika	orginal	orginal	27
H1	kavi	kavi/	praatipadika	MPnet	k_hop	9
H1	kavi	kavi/	praatipadika	MPnet	hac	39
H1	kavi	kavi/	praatipadika	MPnet	louvain	8
H1	kavi	kavi/	praatipadika	MPnet	leiden	8
H1	kf	kf	dhaatu	orginal	orginal	3
H1	kf	kf	dhaatu	MPnet	k_hop	3
H1	kf	kf	dhaatu	MPnet	hac	3
H1	kf	kf	dhaatu	MPnet	louvain	3
H1	kf	kf	dhaatu	MPnet	leiden	3
H1	mad	mad	dhaatu	orginal	orginal	3
H1	mad	mad	dhaatu	MPnet	k_hop	5
H1	mad	mad	dhaatu	MPnet	hac	22
H1	mad	mad	dhaatu	MPnet	louvain	6
H1	mad	mad	dhaatu	MPnet	leiden	6
H1	muc	muc	dhaatu	orginal	orginal	5
H1	muc	muc	dhaatu	MPnet	k_hop	3
H1	muc	muc	dhaatu	MPnet	hac	62
H1	muc	muc	dhaatu	MPnet	louvain	5
H1	muc	muc	dhaatu	MPnet	leiden	8
H1	prakfti	pra-kfti	cpd-praatipadika	orginal	orginal	25
H1	prakfti	pra-kfti	cpd-praatipadika	MPnet	k_hop	14
H1	prakfti	pra-kfti	cpd-praatipadika	MPnet	hac	59
H1	prakfti	pra-kfti	cpd-praatipadika	MPnet	louvain	11
H1	prakfti	pra-kfti	cpd-praatipadika	MPnet	leiden	14
H1	rUpa	rUpa/	praatipadika	orginal	orginal	26
H1	rUpa	rUpa/	praatipadika	MPnet	k_hop	14
H1	rUpa	rUpa/	praatipadika	MPnet	hac	54
H1	rUpa	rUpa/	praatipadika	MPnet	louvain	12
H1	rUpa	rUpa/	praatipadika	MPnet	leiden	13
H1	rasa	ra/sa	praatipadika	orginal	orginal	32
H1	rasa	ra/sa	praatipadika	MPnet	k_hop	16
H1	rasa	ra/sa	praatipadika	MPnet	hac	64
H1	rasa	ra/sa	praatipadika	MPnet	louvain	14
H1	rasa	ra/sa	praatipadika	MPnet	leiden	15
H1	saha	saha/	avyaya	orginal	orginal	3
H1	saha	saha/	avyaya	MPnet	k_hop	1
H1	saha	saha/	avyaya	MPnet	hac	11
H1	saha	saha/	avyaya	MPnet	louvain	3
H1	saha	saha/	avyaya	MPnet	leiden	4
H1	saha	saha/	praatipadika	orginal	orginal	14
H1	saha	saha/	praatipadika	MPnet	k_hop	5
H1	saha	saha/	praatipadika	MPnet	hac	27
H1	saha	saha/	praatipadika	MPnet	louvain	5
H1	saha	saha/	praatipadika	MPnet	leiden	5
H1	sarva	sa/rva	praatipadika	orginal	orginal	8
H1	sarva	sa/rva	praatipadika	MPnet	k_hop	5
H1	sarva	sa/rva	praatipadika	MPnet	hac	16
H1	sarva	sa/rva	praatipadika	MPnet	louvain	6
H1	sarva	sa/rva	praatipadika	MPnet	leiden	6
H1	su	su	dhaatu	orginal	orginal	4
H1	su	su	dhaatu	MPnet	k_hop	2
H1	su	su	dhaatu	MPnet	hac	11
H1	su	su	dhaatu	MPnet	louvain	3
H1	su	su	dhaatu	MPnet	leiden	4
H1	su	su/	upasarga	orginal	orginal	1
H1	su	su/	upasarga	MPnet	k_hop	6
H1	su	su/	upasarga	MPnet	hac	17
H1	su	su/	upasarga	MPnet	louvain	7
H1	su	su/	upasarga	MPnet	leiden	7
H1	tad	ta/d	praatipadika	orginal	orginal	10
H1	tad	ta/d	praatipadika	MPnet	k_hop	6
H1	tad	ta/d	praatipadika	MPnet	hac	21
H1	tad	ta/d	praatipadika	MPnet	louvain	5
H1	tad	ta/d	praatipadika	MPnet	leiden	7
H1	tad	tad	praatipadika	orginal	orginal	6
H1	tad	tad	praatipadika	MPnet	k_hop	5
H1	tad	tad	praatipadika	MPnet	hac	15
H1	tad	tad	praatipadika	MPnet	louvain	7
H1	tad	tad	praatipadika	MPnet	leiden	7
H1	tatas	ta/tas	praatipadika	orginal	orginal	17
H1	tatas	ta/tas	praatipadika	MPnet	k_hop	5
H1	tatas	ta/tas	praatipadika	MPnet	hac	23
H1	tatas	ta/tas	praatipadika	MPnet	louvain	6
H1	tatas	ta/tas	praatipadika	MPnet	leiden	6
H1	tu	tu	dhaatu	orginal	orginal	1
H1	tu	tu	dhaatu	MPnet	k_hop	3
H1	tu	tu	dhaatu	MPnet	hac	6
H1	tu	tu	dhaatu	MPnet	louvain	4
H1	tu	tu	dhaatu	MPnet	leiden	4
H1	tu	tu/	avyaya	orginal	orginal	12
H1	tu	tu/	avyaya	MPnet	k_hop	5
H1	tu	tu/	avyaya	MPnet	hac	15
H1	tu	tu/	avyaya	MPnet	louvain	6
H1	tu	tu/	avyaya	MPnet	leiden	6
H1	uttara	u/t-tara	cpd-praatipadika	orginal	orginal	2
H1	uttara	u/t-tara	cpd-praatipadika	MPnet	k_hop	1
H1	uttara	u/t-tara	cpd-praatipadika	MPnet	hac	2
H1	uttara	u/t-tara	cpd-praatipadika	MPnet	louvain	1
H1	uttara	u/t-tara	cpd-praatipadika	MPnet	leiden	1
H1	uttara	u/ttara	praatipadika	orginal	orginal	27
H1	uttara	u/ttara	praatipadika	MPnet	k_hop	13
H1	uttara	u/ttara	praatipadika	MPnet	hac	52
H1	uttara	u/ttara	praatipadika	MPnet	louvain	11
H1	uttara	u/ttara	praatipadika	MPnet	leiden	12
H1	vac	vac	dhaatu	orginal	orginal	1
H1	vac	vac	dhaatu	MPnet	k_hop	5
H1	vac	vac	dhaatu	MPnet	hac	30
H1	vac	vac	dhaatu	MPnet	louvain	5
H1	vac	vac	dhaatu	MPnet	leiden	5
H1	yoga	yo/ga	praatipadika	orginal	orginal	38
H1	yoga	yo/ga	praatipadika	MPnet	k_hop	13
H1	yoga	yo/ga	praatipadika	MPnet	hac	106
H1	yoga	yo/ga	praatipadika	MPnet	louvain	11
H1	yoga	yo/ga	praatipadika	MPnet	leiden	13
H1	yuj	yu/j	dhaatu	orginal	orginal	10
H1	yuj	yu/j	dhaatu	MPnet	k_hop	13
H1	yuj	yu/j	dhaatu	MPnet	hac	23
H1	yuj	yu/j	dhaatu	MPnet	louvain	11
H1	yuj	yu/j	dhaatu	MPnet	leiden	12
H1	yuj	yuj	dhaatu	orginal	orginal	1
H1	yuj	yuj	dhaatu	MPnet	k_hop	6
H1	yuj	yuj	dhaatu	MPnet	hac	81
H1	yuj	yuj	dhaatu	MPnet	louvain	7
H1	yuj	yuj	dhaatu	MPnet	leiden	9
H1	BAva	BAva/	praatipadika	orginal	orginal	30
H1	BAva	BAva/	praatipadika	LaBSE	k_hop	34
H1	BAva	BAva/	praatipadika	LaBSE	hac	10
H1	BAva	BAva/	praatipadika	LaBSE	louvain	30
H1	BAva	BAva/	praatipadika	LaBSE	leiden	30
H1	BU	BU	dhaatu	orginal	orginal	2
H1	BU	BU	dhaatu	LaBSE	k_hop	2
H1	BU	BU	dhaatu	LaBSE	hac	2
H1	BU	BU	dhaatu	LaBSE	louvain	2
H1	BU	BU	dhaatu	LaBSE	leiden	2
H1	BU	BU/	dhaatu	orginal	orginal	14
H1	BU	BU/	dhaatu	LaBSE	k_hop	10
H1	BU	BU/	dhaatu	LaBSE	hac	5
H1	BU	BU/	dhaatu	LaBSE	louvain	10
H1	BU	BU/	dhaatu	LaBSE	leiden	11
H1	Darma	Da/rma	praatipadika	orginal	orginal	27
H1	Darma	Da/rma	praatipadika	LaBSE	k_hop	26
H1	Darma	Da/rma	praatipadika	LaBSE	hac	10
H1	Darma	Da/rma	praatipadika	LaBSE	louvain	25
H1	Darma	Da/rma	praatipadika	LaBSE	leiden	25
H1	Darma	Darma	naama-dhaatu	orginal	orginal	1
H1	Darma	Darma	naama-dhaatu	LaBSE	k_hop	2
H1	Darma	Darma	naama-dhaatu	LaBSE	hac	1
H1	Darma	Darma	naama-dhaatu	LaBSE	louvain	2
H1	Darma	Darma	naama-dhaatu	LaBSE	leiden	2
H1	agra	a/gra	praatipadika	orginal	orginal	15
H1	agra	a/gra	praatipadika	LaBSE	k_hop	16
H1	agra	a/gra	praatipadika	LaBSE	hac	4
H1	agra	a/gra	praatipadika	LaBSE	louvain	16
H1	agra	a/gra	praatipadika	LaBSE	leiden	16
H1	agra	agra	praatipadika	orginal	orginal	1
H1	agra	agra	praatipadika	LaBSE	k_hop	1
H1	agra	agra	praatipadika	LaBSE	hac	1
H1	agra	agra	praatipadika	LaBSE	louvain	1
H1	agra	agra	praatipadika	LaBSE	leiden	1
H1	arTa	a/rTa	praatipadika	orginal	orginal	15
H1	arTa	a/rTa	praatipadika	LaBSE	k_hop	16
H1	arTa	a/rTa	praatipadika	LaBSE	hac	5
H1	arTa	a/rTa	praatipadika	LaBSE	louvain	17
H1	arTa	a/rTa	praatipadika	LaBSE	leiden	17
H1	banD	banD	dhaatu	orginal	orginal	1
H1	banD	banD	dhaatu	LaBSE	k_hop	18
H1	banD	banD	dhaatu	LaBSE	hac	4
H1	banD	banD	dhaatu	LaBSE	louvain	16
H1	banD	banD	dhaatu	LaBSE	leiden	16
H1	brahman	bra/hman	praatipadika	orginal	orginal	11
H1	brahman	bra/hman	praatipadika	LaBSE	k_hop	20
H1	brahman	bra/hman	praatipadika	LaBSE	hac	7
H1	brahman	bra/hman	praatipadika	LaBSE	louvain	21
H1	brahman	bra/hman	praatipadika	LaBSE	leiden	21
H1	brahman	brahma/n	praatipadika	orginal	orginal	16
H1	brahman	brahma/n	praatipadika	LaBSE	k_hop	20
H1	brahman	brahma/n	praatipadika	LaBSE	hac	7
H1	brahman	brahma/n	praatipadika	LaBSE	louvain	20
H1	brahman	brahma/n	praatipadika	LaBSE	leiden	20
H1	citra	citra	praatipadika	orginal	orginal	1
H1	citra	citra	praatipadika	LaBSE	k_hop	2
H1	citra	citra	praatipadika	LaBSE	hac	1
H1	citra	citra	praatipadika	LaBSE	louvain	2
H1	citra	citra	praatipadika	LaBSE	leiden	2
H1	citra	citra/	praatipadika	orginal	orginal	33
H1	citra	citra/	praatipadika	LaBSE	k_hop	29
H1	citra	citra/	praatipadika	LaBSE	hac	9
H1	citra	citra/	praatipadika	LaBSE	louvain	29
H1	citra	citra/	praatipadika	LaBSE	leiden	29
H1	dfS	df/S	praatipadika	orginal	orginal	7
H1	dfS	df/S	praatipadika	LaBSE	k_hop	5
H1	dfS	df/S	praatipadika	LaBSE	hac	2
H1	dfS	df/S	praatipadika	LaBSE	louvain	5
H1	dfS	df/S	praatipadika	LaBSE	leiden	6
H1	dfS	dfS	praatipadika	orginal	orginal	1
H1	dfS	dfS	praatipadika	LaBSE	k_hop	9
H1	dfS	dfS	praatipadika	LaBSE	hac	2
H1	dfS	dfS	praatipadika	LaBSE	louvain	8
H1	dfS	dfS	praatipadika	LaBSE	leiden	8
H1	eka	e/ka	praatipadika	orginal	orginal	12
H1	eka	e/ka	praatipadika	LaBSE	k_hop	10
H1	eka	e/ka	praatipadika	LaBSE	hac	2
H1	eka	e/ka	praatipadika	LaBSE	louvain	11
H1	eka	e/ka	praatipadika	LaBSE	leiden	12
H1	eva	e/va	praatipadika	orginal	orginal	5
H1	eva	e/va	praatipadika	LaBSE	k_hop	5
H1	eva	e/va	praatipadika	LaBSE	hac	1
H1	eva	e/va	praatipadika	LaBSE	louvain	6
H1	eva	e/va	praatipadika	LaBSE	leiden	7
H1	eva	eva/	avyaya	orginal	orginal	4
H1	eva	eva/	avyaya	LaBSE	k_hop	6
H1	eva	eva/	avyaya	LaBSE	hac	3
H1	eva	eva/	avyaya	LaBSE	louvain	7
H1	eva	eva/	avyaya	LaBSE	leiden	8
H1	gam	gam	dhaatu	orginal	orginal	1
H1	gam	gam	dhaatu	LaBSE	k_hop	21
H1	gam	gam	dhaatu	LaBSE	hac	2
H1	gam	gam	dhaatu	LaBSE	louvain	20
H1	gam	gam	dhaatu	LaBSE	leiden	22
H1	grah	grah	dhaatu	orginal	orginal	1
H1	grah	grah	dhaatu	LaBSE	k_hop	9
H1	grah	grah	dhaatu	LaBSE	hac	1
H1	grah	grah	dhaatu	LaBSE	louvain	11
H1	grah	grah	dhaatu	LaBSE	leiden	11
H1	han	han	dhaatu	orginal	orginal	1
H1	han	han	dhaatu	LaBSE	k_hop	1
H1	han	han	dhaatu	LaBSE	hac	1
H1	han	han	dhaatu	LaBSE	louvain	1
H1	han	han	dhaatu	LaBSE	leiden	1
H1	han	han	naama-dhaatu	orginal	orginal	1
H1	han	han	naama-dhaatu	LaBSE	k_hop	9
H1	han	han	naama-dhaatu	LaBSE	hac	1
H1	han	han	naama-dhaatu	LaBSE	louvain	5
H1	han	han	naama-dhaatu	LaBSE	leiden	7
H1	hari	ha/ri	praatipadika	orginal	orginal	31
H1	hari	ha/ri	praatipadika	LaBSE	k_hop	22
H1	hari	ha/ri	praatipadika	LaBSE	hac	6
H1	hari	ha/ri	praatipadika	LaBSE	louvain	20
H1	hari	ha/ri	praatipadika	LaBSE	leiden	20
H1	hari	hari	praatipadika	orginal	orginal	2
H1	hari	hari	praatipadika	LaBSE	k_hop	2
H1	hari	hari	praatipadika	LaBSE	hac	1
H1	hari	hari	praatipadika	LaBSE	louvain	2
H1	hari	hari	praatipadika	LaBSE	leiden	2
H1	hi	hi	dhaatu	orginal	orginal	1
H1	hi	hi	dhaatu	LaBSE	k_hop	5
H1	hi	hi	dhaatu	LaBSE	hac	1
H1	hi	hi	dhaatu	LaBSE	louvain	5
H1	hi	hi	dhaatu	LaBSE	leiden	5
H1	hi	hi/	avyaya	orginal	orginal	1
H1	hi	hi/	avyaya	LaBSE	k_hop	3
H1	hi	hi/	avyaya	LaBSE	hac	1
H1	hi	hi/	avyaya	LaBSE	louvain	3
H1	hi	hi/	avyaya	LaBSE	leiden	3
H1	hi	hi/	dhaatu	orginal	orginal	2
H1	hi	hi/	dhaatu	LaBSE	k_hop	6
H1	hi	hi/	dhaatu	LaBSE	hac	3
H1	hi	hi/	dhaatu	LaBSE	louvain	6
H1	hi	hi/	dhaatu	LaBSE	leiden	7
H1	kAla	kAla	praatipadika	orginal	orginal	25
H1	kAla	kAla	praatipadika	LaBSE	k_hop	20
H1	kAla	kAla	praatipadika	LaBSE	hac	8
H1	kAla	kAla	praatipadika	LaBSE	louvain	20
H1	kAla	kAla	praatipadika	LaBSE	leiden	20
H1	kAla	kAla/	praatipadika	orginal	orginal	13
H1	kAla	kAla/	praatipadika	LaBSE	k_hop	7
H1	kAla	kAla/	praatipadika	LaBSE	hac	1
H1	kAla	kAla/	praatipadika	LaBSE	louvain	7
H1	kAla	kAla/	praatipadika	LaBSE	leiden	8
H1	karman	ka/rman	praatipadika	orginal	orginal	12
H1	karman	ka/rman	praatipadika	LaBSE	k_hop	12
H1	karman	ka/rman	praatipadika	LaBSE	hac	3
H1	karman	ka/rman	praatipadika	LaBSE	louvain	12
H1	karman	ka/rman	praatipadika	LaBSE	leiden	12
H1	kavi	kav	praatipadika	orginal	orginal	4
H1	kavi	kav	praatipadika	LaBSE	k_hop	7
H1	kavi	kav	praatipadika	LaBSE	hac	2
H1	kavi	kav	praatipadika	LaBSE	louvain	7
H1	kavi	kav	praatipadika	LaBSE	leiden	7
H1	kavi	kavi/	praatipadika	orginal	orginal	27
H1	kavi	kavi/	praatipadika	LaBSE	k_hop	21
H1	kavi	kavi/	praatipadika	LaBSE	hac	5
H1	kavi	kavi/	praatipadika	LaBSE	louvain	20
H1	kavi	kavi/	praatipadika	LaBSE	leiden	20
H1	kf	kf	dhaatu	orginal	orginal	3
H1	kf	kf	dhaatu	LaBSE	k_hop	3
H1	kf	kf	dhaatu	LaBSE	hac	2
H1	kf	kf	dhaatu	LaBSE	louvain	3
H1	kf	kf	dhaatu	LaBSE	leiden	3
H1	mad	mad	dhaatu	orginal	orginal	3
H1	mad	mad	dhaatu	LaBSE	k_hop	9
H1	mad	mad	dhaatu	LaBSE	hac	2
H1	mad	mad	dhaatu	LaBSE	louvain	7
H1	mad	mad	dhaatu	LaBSE	leiden	9
H1	muc	muc	dhaatu	orginal	orginal	5
H1	muc	muc	dhaatu	LaBSE	k_hop	5
H1	muc	muc	dhaatu	LaBSE	hac	1
H1	muc	muc	dhaatu	LaBSE	louvain	6
H1	muc	muc	dhaatu	LaBSE	leiden	7
H1	prakfti	pra-kfti	cpd-praatipadika	orginal	orginal	25
H1	prakfti	pra-kfti	cpd-praatipadika	LaBSE	k_hop	32
H1	prakfti	pra-kfti	cpd-praatipadika	LaBSE	hac	8
H1	prakfti	pra-kfti	cpd-praatipadika	LaBSE	louvain	29
H1	prakfti	pra-kfti	cpd-praatipadika	LaBSE	leiden	29
H1	rUpa	rUpa/	praatipadika	orginal	orginal	26
H1	rUpa	rUpa/	praatipadika	LaBSE	k_hop	25
H1	rUpa	rUpa/	praatipadika	LaBSE	hac	5
H1	rUpa	rUpa/	praatipadika	LaBSE	louvain	24
H1	rUpa	rUpa/	praatipadika	LaBSE	leiden	25
H1	rasa	ra/sa	praatipadika	orginal	orginal	32
H1	rasa	ra/sa	praatipadika	LaBSE	k_hop	34
H1	rasa	ra/sa	praatipadika	LaBSE	hac	11
H1	rasa	ra/sa	praatipadika	LaBSE	louvain	33
